,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,ApplicantIncome_scaled,CoapplicantIncome_scaled,Dependents_scaled,LoanAmount_scaled,Loan_status
0,LP001002,Male,No,0,Graduate,No,5849,0.0,130.0,360.0,1.0,Urban,0.07220987654320987,0.0,0.0,0.17510853835021706,1
1,LP001003,Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,0.05658024691358025,0.03619171046631627,0.3333333333333333,0.17221418234442834,1
2,LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,0.037037037037037035,0.0,0.0,0.0824891461649783,1
3,LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,0.03188888888888889,0.05659154726762186,0.0,0.1606367583212735,1
4,LP001008,Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,0.07407407407407407,0.0,0.0,0.19102749638205496,1
5,LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,0.06687654320987654,0.100703194374445,0.6666666666666666,0.3733719247467438,0
6,LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,0.028802469135802467,0.03638370893032856,0.0,0.12445730824891461,1
7,LP001014,Male,Yes,3,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,0.03748148148148148,0.060095519235846113,1.0,0.21562952243125902,0
8,LP001018,Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,0.04945679012345679,0.03662370701034392,0.6666666666666666,0.23010130246020258,0
9,LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,0.15853086419753085,0.2632298941608467,0.3333333333333333,0.49204052098408096,0
10,LP001024,Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,0.03950617283950617,0.01679986560107519,0.6666666666666666,0.08827785817655572,0
11,LP001027,Male,Yes,2,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,0.030864197530864196,0.04415964672282622,0.6666666666666666,0.14471780028943557,0
12,LP001028,Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,0.03793827160493827,0.19454244366045073,0.6666666666666666,0.276410998552822,0
13,LP001029,Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,0.022876543209876542,0.0681594547243622,0.0,0.15195369030390735,1
14,LP001030,Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,0.016037037037037037,0.026063791489668083,0.6666666666666666,0.011577424023154847,0
15,LP001032,Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,0.06111111111111111,0.0,0.0,0.16787264833574528,1
16,LP001034,Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,1.0,Urban,0.04439506172839506,0.0,0.3333333333333333,0.13169319826338638,1
17,LP001036,Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,0.04333333333333333,0.0,0.0,0.09696092619392185,1
18,LP001038,Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,0.06033333333333333,0.0,0.0,0.17945007235890012,1
19,LP001041,Male,Yes,0,Graduate,No,2600,3500.0,115.0,360.0,1.0,Urban,0.03209876543209876,0.08399932800537596,0.0,0.15340086830680172,1
20,LP001043,Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,0.09456790123456789,0.0,0.0,0.1374819102749638,1
21,LP001046,Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,0.07351851851851851,0.13499892000863994,0.3333333333333333,0.4428364688856729,0
22,LP001047,Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,0.03209876543209876,0.045863633090935274,0.0,0.15484804630969606,1
23,LP001050,Male,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,0.04154320987654321,0.04600763193894449,0.6666666666666666,0.14905933429811866,0
24,LP001052,Male,Yes,1,Graduate,No,3717,2925.0,151.0,360.0,1.0,Semiurban,0.04588888888888889,0.07019943840449276,0.3333333333333333,0.20549927641099852,1
25,LP001066,Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,0.11802469135802468,0.0,0.0,0.26338639652677276,0
26,LP001068,Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,0.034555555555555555,0.05407156742746058,0.0,0.16353111432706222,1
